City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Samarai,PG,82.63,broken clouds,-10.6167,150.6667,Nuli Sapi
2,Cusuna,HN,81.25,overcast clouds,15.85,-85.2333,San Francisco de la paz
5,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
7,Makakilo City,US,83.01,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
17,Hilo,US,82.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
21,Puerto Escondido,MX,79.63,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
25,Albany,US,78.67,overcast clouds,42.6001,-73.9662,
35,Dingle,PH,80.67,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
38,Luba,GQ,78.6,light rain,3.4568,8.5547,
39,Roma,US,84.34,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
42,Atuona,PF,78.19,scattered clouds,-9.8,-139.0333,Villa Enata
44,Edeia,BR,75.63,broken clouds,-17.3383,-49.9314,Hotel Sol Nascente
47,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
51,Aripuana,BR,78.31,overcast clouds,-9.1667,-60.6333,
62,Saint Anthony,US,75.25,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
69,Faanui,PF,80.8,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
72,Novita,CO,75.56,overcast clouds,4.9551,-76.6053,B/ Buenos Aires Sector Las Curvitas
81,Buala,SB,82.27,light rain,-8.145,159.5921,Maringe Lagoon Lodge
84,Puerto Ayacucho,VE,76.77,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
89,Butterworth,MY,77.05,scattered clouds,5.3991,100.3638,Cititel Penang
90,Dicabisagan,PH,82.33,light rain,17.0818,122.4157,Nancy Montanes Bernardo
95,Gushikawa,JP,76.23,heavy intensity rain,26.3544,127.8686,Kirari Guest House
96,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
97,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
98,Sinnamary,GF,77.25,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
100,Sur,OM,86.81,few clouds,22.5667,59.5289,Sur Plaza Hotel
104,Jamestown,US,81.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
105,Odweyne,SO,76.23,scattered clouds,9.4092,45.064,Eng Hiirey House
118,Thanh Hoa,VN,77.92,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
120,Tucuma,BR,77.0,overcast clouds,-0.1833,-50.05,
125,Jining,CN,78.17,few clouds,35.405,116.5814,Yunhe Star Hotel
135,Kulhudhuffushi,MV,82.74,overcast clouds,6.6221,73.07,Haajy Guest House 1
137,Kanniyakumari,IN,80.29,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
138,Nishihara,JP,76.28,heavy intensity rain,26.1842,127.7558,Minshuku Agaihama
143,Lazaro Cardenas,MX,82.0,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
151,Oranjestad,AW,80.04,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
157,Ugoofaaru,MV,83.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
165,Kavaratti,IN,82.9,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
167,Conceicao Do Araguaia,BR,75.31,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
169,Hithadhoo,MV,82.2,broken clouds,-0.6,73.0833,Scoop Guest House
172,Khammam,IN,85.21,moderate rain,17.25,80.15,Hotel Vishnu Residency
173,Jackson,US,83.16,clear sky,42.4165,-122.8345,Agate Village Apartments
177,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
180,Biu,NG,75.99,clear sky,10.6129,12.1946,Emir's Palace
183,Butaritari,KI,81.91,broken clouds,3.0707,172.7902,Isles Sunset Lodge
189,Tautira,PF,78.85,light rain,-17.7333,-149.15,Pension Oaoa
190,Broome,US,83.7,clear sky,42.2506,-75.833,Chenango Valley State Park
194,Sao Miguel Do Araguaia,BR,78.37,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
195,Bonthe,SL,77.29,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
197,Puli,TW,75.87,overcast clouds,23.9664,120.9695,牛耳藝術渡假村木屋區
218,Kimbe,PG,83.8,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
219,Namatanai,PG,83.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
224,Pundaguitan,PH,81.99,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
225,Sulangan,PH,83.82,scattered clouds,11.1373,123.7228,Maia's Beach Resort
231,Majene,ID,77.94,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
233,Kavieng,PG,84.09,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
235,La Mira,MX,81.86,overcast clouds,18.035,-102.3266,Cabaña San Francisco
242,Ambon,ID,76.23,thunderstorm,-3.6954,128.1814,Swiss-Belhotel Ambon
245,Half Moon Bay,US,89.58,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
250,Umm Kaddadah,SD,85.95,scattered clouds,13.6017,26.6876,
253,The Valley,AI,82.81,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
254,Ishigaki,JP,82.4,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
264,Nambiyur,IN,77.97,overcast clouds,11.3667,77.3333,City lodge A/C
268,Merauke,ID,80.17,broken clouds,-8.4667,140.3333,
271,Dehloran,IR,86.11,clear sky,32.6941,47.2679,کافه گیم استورم
272,Bonfim,BR,77.2,scattered clouds,3.0833,-59.95,
277,Marquette,US,78.24,moderate rain,46.5333,-87.6335,Al Quaal Lodge
281,Mahon,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
285,Taganak,PH,80.24,overcast clouds,6.0833,118.3,Taganak
296,Miri,MY,76.3,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
300,Aswan,EG,86.49,clear sky,24.0934,32.907,Nuba Nile
306,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
312,Nabire,ID,77.16,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
313,Meulaboh,ID,75.83,overcast clouds,4.1363,96.1285,Kost Pria
314,Coahuayana,MX,83.86,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
