,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Ionia,42.9873,-85.0711,91.6,46,0,12.66,US,2022-06-15 23:03:47,clear sky
1,Samarai,-10.6167,150.6667,82.63,79,75,10.4,PG,2022-06-15 23:03:47,broken clouds
2,Cusuna,15.85,-85.2333,81.25,73,99,8.32,HN,2022-06-15 23:03:47,overcast clouds
3,Krasnoarmeysk,51.0239,45.6969,62.51,82,94,7.99,RU,2022-06-15 23:03:48,overcast clouds
4,Pevek,69.7008,170.3133,35.11,78,6,5.73,RU,2022-06-15 23:03:48,clear sky
5,Vaini,-21.2,-175.2,80.76,74,75,6.91,TO,2022-06-15 23:03:48,broken clouds
6,Cape Town,-33.9258,18.4232,57.38,67,3,5.01,ZA,2022-06-15 23:02:30,clear sky
7,Makakilo City,21.3469,-158.0858,83.01,63,75,12.66,US,2022-06-15 22:58:58,broken clouds
8,Bilma,18.6853,12.9164,90.48,31,61,6.13,NE,2022-06-15 23:03:49,broken clouds
9,Barkly West,-28.5354,24.5215,40.28,49,3,8.75,ZA,2022-06-15 23:03:49,clear sky
10,Tommot,58.9564,126.2925,61.29,63,0,2.48,RU,2022-06-15 23:03:50,clear sky
11,Mataura,-46.1927,168.8643,47.48,92,97,7.43,NZ,2022-06-15 23:03:51,light rain
12,Ushuaia,-54.8,-68.3,39.07,79,100,9.17,AR,2022-06-15 23:03:51,overcast clouds
13,Araouane,18.9048,-3.5265,93.29,21,17,5.17,ML,2022-06-15 23:03:51,few clouds
14,Teguise,29.0605,-13.564,66.42,73,20,13.8,ES,2022-06-15 22:59:24,few clouds
15,Olafsvik,64.8945,-23.7142,48.31,73,41,15.3,IS,2022-06-15 23:03:52,scattered clouds
16,Kiama,-34.6833,150.8667,61.57,66,69,5.88,AU,2022-06-15 23:03:52,light rain
17,Hilo,19.7297,-155.09,82.27,73,40,10.36,US,2022-06-15 23:03:53,scattered clouds
18,Port Alfred,-33.5906,26.891,53.49,73,71,18.77,ZA,2022-06-15 23:03:53,light rain
19,Gamba,-2.65,10.0,72.32,89,71,5.61,GA,2022-06-15 23:03:53,broken clouds
20,Hofn,64.2539,-15.2082,49.71,80,25,15.39,IS,2022-06-15 23:03:13,scattered clouds
21,Puerto Escondido,15.85,-97.0667,79.63,61,100,9.22,MX,2022-06-15 23:03:54,overcast clouds
22,Bredasdorp,-34.5322,20.0403,46.06,79,8,3.44,ZA,2022-06-15 23:03:54,clear sky
23,Frata,46.7,24.05,54.48,79,6,0.51,RO,2022-06-15 23:03:54,clear sky
24,Saint-Denis,48.9167,2.3333,74.14,54,0,9.22,FR,2022-06-15 23:03:55,clear sky
25,Albany,42.6001,-73.9662,78.67,53,86,2.57,US,2022-06-15 23:01:43,overcast clouds
26,Sao Joao Da Barra,-21.6403,-41.0511,67.57,75,99,7.47,BR,2022-06-15 23:02:21,overcast clouds
27,Cumbitara,1.6517,-77.5823,60.44,94,77,3.6,CO,2022-06-15 23:03:55,light rain
28,Tiksi,71.6872,128.8694,36.79,75,47,13.51,RU,2022-06-15 23:03:56,scattered clouds
29,Arraial Do Cabo,-22.9661,-42.0278,68.72,70,32,10.76,BR,2022-06-15 23:03:56,scattered clouds
30,Deputatskiy,69.3,139.9,56.97,47,72,6.31,RU,2022-06-15 23:03:57,broken clouds
31,Saint George,37.1041,-113.5841,98.44,7,0,3.0,US,2022-06-15 23:00:25,clear sky
32,Tapejara,-28.0681,-52.0139,52.29,87,4,1.19,BR,2022-06-15 23:03:57,clear sky
33,Pisco,-13.7,-76.2167,63.01,77,0,16.11,PE,2022-06-15 23:03:57,smoke
34,Busselton,-33.65,115.3333,61.23,84,5,8.5,AU,2022-06-15 23:03:58,clear sky
35,Dingle,10.9995,122.6711,80.67,83,69,4.0,PH,2022-06-15 23:03:58,broken clouds
36,Provideniya,64.3833,-173.3,39.36,100,100,13.42,RU,2022-06-15 23:03:58,light rain
37,Udachnyy,66.4167,112.4,57.25,60,43,13.44,RU,2022-06-15 23:03:59,scattered clouds
38,Luba,3.4568,8.5547,78.6,86,63,10.31,GQ,2022-06-15 23:03:59,light rain
39,Roma,43.2128,-75.4557,84.34,45,0,5.75,US,2022-06-15 23:01:38,clear sky
40,Igrim,63.1906,64.4162,54.59,80,41,5.32,RU,2022-06-15 23:03:59,scattered clouds
41,Ribeira Grande,38.5167,-28.7,65.05,90,12,5.44,PT,2022-06-15 23:04:00,few clouds
42,Atuona,-9.8,-139.0333,78.19,69,38,20.13,PF,2022-06-15 23:00:37,scattered clouds
43,Talnakh,69.4865,88.3972,65.21,51,77,6.58,RU,2022-06-15 23:04:00,broken clouds
44,Edeia,-17.3383,-49.9314,75.63,58,69,2.26,BR,2022-06-15 23:04:01,broken clouds
45,Lagoa,39.05,-27.9833,63.39,86,38,6.71,PT,2022-06-15 23:04:01,scattered clouds
46,Pangnirtung,66.1451,-65.7125,39.11,99,100,3.83,CA,2022-06-15 23:02:55,overcast clouds
47,Cayenne,4.9333,-52.3333,82.09,5,20,1.01,GF,2022-06-15 23:03:51,few clouds
48,Port Augusta,-32.5,137.7667,53.15,85,1,0.72,AU,2022-06-15 23:02:36,clear sky
49,Cidreira,-30.1811,-50.2056,59.32,81,4,3.18,BR,2022-06-15 23:05:02,clear sky
50,Sheltozero,61.3667,35.3667,50.07,97,82,8.77,RU,2022-06-15 23:05:02,broken clouds
51,Aripuana,-9.1667,-60.6333,78.31,73,98,0.92,BR,2022-06-15 23:05:02,overcast clouds
52,Areosa,41.7178,-8.8571,65.44,93,88,2.13,PT,2022-06-15 23:05:03,overcast clouds
53,Tuatapere,-46.1333,167.6833,48.11,90,90,7.7,NZ,2022-06-15 23:05:03,light rain
54,Rikitea,-23.1203,-134.9692,72.75,70,55,6.73,PF,2022-06-15 23:05:03,broken clouds
55,Qaanaaq,77.484,-69.3632,29.95,79,67,1.52,GL,2022-06-15 23:05:04,broken clouds
56,Yellowknife,62.456,-114.3525,64.92,45,75,8.05,CA,2022-06-15 23:01:44,light intensity shower rain
57,Grand Gaube,-20.0064,57.6608,74.37,65,22,10.0,MU,2022-06-15 23:05:04,few clouds
