City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-06-14 06:19:58,-34.5322,20.0403,52.93,82,72,11.32
1,Tuatapere,NZ,2022-06-14 06:19:58,-46.1333,167.6833,42.48,70,89,21.94
2,Chuy,UY,2022-06-14 06:19:58,-33.6971,-53.4616,49.6,94,9,5.73
3,Byron Bay,AU,2022-06-14 06:19:59,-28.65,153.6167,65.95,79,89,3.24
4,Pyay,MM,2022-06-14 06:19:59,18.8167,95.2167,94.78,46,100,6.71
5,Ushuaia,AR,2022-06-14 06:17:43,-54.8,-68.3,40.66,81,20,16.11
6,Lata,PT,2022-06-14 06:17:59,40.1629,-8.3327,67.08,74,69,1.28
7,Bartica,GY,2022-06-14 06:19:59,6.4,-58.6167,71.1,99,87,0.98
8,Abnub,EG,2022-06-14 06:20:00,27.2696,31.1511,85.98,30,0,4.52
9,High Prairie,CA,2022-06-14 06:20:00,55.4334,-116.4858,51.01,81,54,7.99
10,Jaciara,BR,2022-06-14 06:20:01,-15.9653,-54.9683,58.21,38,48,1.16
11,Busselton,AU,2022-06-14 06:20:01,-33.65,115.3333,64.96,60,15,12.33
12,Vardo,NO,2022-06-14 06:20:02,70.3705,31.1107,44.58,81,75,9.22
13,Arraial Do Cabo,BR,2022-06-14 06:20:02,-22.9661,-42.0278,67.59,79,99,15.26
14,Hermanus,ZA,2022-06-14 06:20:02,-34.4187,19.2345,51.8,83,82,17.45
15,Ostersund,SE,2022-06-14 06:20:03,63.1792,14.6357,51.62,81,75,13.8
16,Port Alfred,ZA,2022-06-14 06:20:03,-33.5906,26.891,68.18,56,100,5.01
17,Bluff,NZ,2022-06-14 06:20:04,-46.6,168.3333,44.8,65,99,37.98
18,Jishu,CN,2022-06-14 06:20:04,44.3167,126.8,77.74,46,90,7.05
19,Mataura,NZ,2022-06-14 06:20:05,-46.1927,168.8643,44.47,86,100,13.89
20,Qaanaaq,GL,2022-06-14 06:20:05,77.484,-69.3632,23.36,81,98,4.97
21,Vila Velha,BR,2022-06-14 06:17:23,-20.3297,-40.2925,66.15,81,0,9.22
22,Saint George,US,2022-06-14 06:16:16,37.1041,-113.5841,75.25,28,20,32.21
23,Hobart,AU,2022-06-14 06:15:23,-42.8794,147.3294,51.22,77,0,5.75
24,Saldanha,ZA,2022-06-14 06:20:06,-33.0117,17.9442,57.42,75,80,19.73
25,Carnarvon,AU,2022-06-14 06:19:06,-24.8667,113.6333,68.5,53,88,11.79
26,Puri,IN,2022-06-14 06:20:06,19.8,85.85,95.52,75,32,15.77
27,Souillac,MU,2022-06-14 06:20:07,-20.5167,57.5167,77.38,47,75,19.57
28,Ambovombe,MG,2022-06-14 06:20:07,-25.1667,46.0833,67.33,60,0,4.36
29,Rikitea,PF,2022-06-14 06:20:07,-23.1203,-134.9692,73.22,63,100,7.72
30,Bethel,US,2022-06-14 06:19:43,41.3712,-73.414,65.64,78,0,3.44
31,Benghazi,LY,2022-06-14 06:20:08,32.1167,20.0667,74.28,75,1,8.88
32,Sao Joao Da Barra,BR,2022-06-14 06:20:08,-21.6403,-41.0511,65.17,79,100,12.19
33,Ahipara,NZ,2022-06-14 06:20:08,-35.1667,173.1667,58.59,63,29,12.37
34,Cayenne,GF,2022-06-14 06:20:09,4.9333,-52.3333,76.08,1,100,1.14
35,Geraldton,AU,2022-06-14 06:20:09,-28.7667,114.6,70.21,46,21,3.44
36,Puerto Ayora,EC,2022-06-14 06:20:10,-0.7393,-90.3518,69.55,95,63,6.2
37,Chilca,PE,2022-06-14 06:20:10,-12.5211,-76.7372,61.39,85,70,7.83
38,Hithadhoo,MV,2022-06-14 06:20:10,-0.6,73.0833,83.52,70,8,5.7
39,Fagernes,NO,2022-06-14 06:20:11,60.9858,9.2324,53.91,60,59,3.11
40,Jamestown,US,2022-06-14 06:17:33,42.097,-79.2353,64.71,58,96,1.99
41,Dikson,RU,2022-06-14 06:15:26,73.5069,80.5464,32.68,85,98,10.65
42,Lavrentiya,RU,2022-06-14 06:20:11,65.5833,-171.0,39.96,65,95,9.08
43,Nikolskoye,RU,2022-06-14 06:20:12,59.7035,30.7861,64.87,67,92,2.48
44,Zarinsk,RU,2022-06-14 06:20:12,53.7074,84.9493,75.65,60,96,3.24
45,Khovu-Aksy,RU,2022-06-14 06:20:12,51.1333,93.6,76.91,42,68,3.51
46,Polson,US,2022-06-14 06:20:13,47.6936,-114.1632,44.73,71,100,4.0
47,Victoria,HK,2022-06-14 06:18:43,22.2855,114.1577,84.96,92,99,4.0
48,Bagdarin,RU,2022-06-14 06:21:13,54.4333,113.6,72.84,39,65,3.13
49,Albany,US,2022-06-14 06:18:22,42.6001,-73.9662,59.41,76,98,4.43
50,Lebu,CL,2022-06-14 06:17:59,-37.6167,-73.65,50.38,92,100,14.34
51,Mahebourg,MU,2022-06-14 06:21:14,-20.4081,57.7,77.29,47,75,19.57
52,Ribeira Grande,PT,2022-06-14 06:21:14,38.5167,-28.7,59.4,77,40,5.75
53,Atuona,PF,2022-06-14 06:21:15,-9.8,-139.0333,77.09,77,84,17.9
54,Severo-Kurilsk,RU,2022-06-14 06:21:15,50.6789,156.125,46.02,89,92,11.36
55,Saskylakh,RU,2022-06-14 06:21:15,71.9167,114.0833,68.2,39,100,12.88
56,Kapaa,US,2022-06-14 06:21:16,22.0752,-159.319,80.58,87,40,14.97
57,Iqaluit,CA,2022-06-14 06:21:16,63.7506,-68.5145,40.73,93,100,2.3
58,Candolim,IN,2022-06-14 06:21:16,15.5181,73.7626,84.63,70,74,6.13
59,Sao Filipe,CV,2022-06-14 06:21:17,14.8961,-24.4956,73.98,74,81,14.07
60,Barrow,US,2022-06-14 06:18:22,71.2906,-156.7887,35.62,80,0,18.41
61,Monrovia,LR,2022-06-14 06:21:17,6.3005,-10.7969,78.17,70,75,8.3
62,Talnakh,RU,2022-06-14 06:21:18,69.4865,88.3972,72.32,35,87,1.01
63,Krumbach,DE,2022-06-14 06:21:18,48.2418,10.3632,60.98,75,7,4.14
64,Hervey Bay,AU,2022-06-14 06:18:10,-25.2986,152.8535,69.44,65,35,5.79
65,Punta Arenas,CL,2022-06-14 06:21:18,-53.15,-70.9167,35.71,93,0,8.05
66,Christchurch,NZ,2022-06-14 06:21:19,-43.5333,172.6333,45.91,76,49,3.44
67,Juneau,US,2022-06-14 06:21:19,58.3019,-134.4197,51.22,98,100,10.36
68,Tiksi,RU,2022-06-14 06:21:20,71.6872,128.8694,51.84,51,33,3.56
69,Vaini,TO,2022-06-14 06:21:20,-21.2,-175.2,73.56,94,20,3.44
70,Longyearbyen,SJ,2022-06-14 06:21:20,78.2186,15.6401,40.84,70,75,10.36
71,Petropavlovsk-Kamchatskiy,RU,2022-06-14 06:21:21,53.0452,158.6483,50.59,87,75,8.95
72,Rongcheng,CN,2022-06-14 06:21:21,30.634,117.8517,89.04,50,2,9.78
73,Sitka,US,2022-06-14 06:21:21,57.0531,-135.33,51.69,76,100,6.91
74,Cabo San Lucas,MX,2022-06-14 06:21:22,22.8909,-109.9124,85.3,67,4,7.0
75,Westport,US,2022-06-14 06:16:57,41.1415,-73.3579,69.62,76,0,4.61
76,Cherskiy,RU,2022-06-14 06:20:25,68.75,161.3,69.46,21,14,7.94
77,Kawalu,ID,2022-06-14 06:21:23,-7.3817,108.2082,82.78,73,69,3.85
78,La Ronge,CA,2022-06-14 06:20:39,55.1001,-105.2842,61.02,77,100,10.36
79,Cocobeach,GA,2022-06-14 06:21:23,1.0002,9.5823,75.9,90,99,9.93
80,Poya,NC,2022-06-14 06:21:23,-21.35,165.15,73.74,87,100,8.86
81,Fortuna,US,2022-06-14 06:21:24,40.5982,-124.1573,55.65,85,0,12.66
82,Port Elizabeth,ZA,2022-06-14 06:21:24,-33.918,25.5701,62.89,79,0,9.22
83,Port Hedland,AU,2022-06-14 06:21:24,-20.3167,118.5667,82.45,36,15,13.8
84,Vestmannaeyjar,IS,2022-06-14 06:21:25,63.4427,-20.2734,48.87,80,100,11.79
